1624527396,ONLINE STORE Y,DEBIT,500000,SUCCESS,books
1624601145,ELECTRONICS STORE Y,DEBIT,50000,SUCCESS,medicine
1624627657,PATRICIA TAYLOR,DEBIT,150000,SUCCESS,food
1624645097,E-COMMERCE A,DEBIT,150000,SUCCESS,clothes
1624654106,COFFEE SHOP X,DEBIT,50000,PENDING,medicine
1624696099,DAVID WILSON,CREDIT,300000,FAILED,transfer
1624705991,COFFEE SHOP C,DEBIT,75000,PENDING,food
1624714818,GAS STATION X,DEBIT,200000,SUCCESS,fuel
1624725639,COMPANY C,CREDIT,15000000,SUCCESS,salary
1624735365,DAVID WILSON,DEBIT,250000,SUCCESS,restaurant
1624736987,E-COMMERCE B,DEBIT,300000,SUCCESS,clothes
1624738440,RESTAURANT A,DEBIT,200000,SUCCESS,food
1624740946,ONLINE STORE Y,CREDIT,100000,PENDING,groceries
1624752742,ONLINE STORE X,DEBIT,100000,SUCCESS,electronics
1624755787,MARIA GARCIA,DEBIT,200000,SUCCESS,transfer
1624757282,JOHN DOE,DEBIT,250000,PENDING,transfer
1624761703,ONLINE STORE X,DEBIT,100000,SUCCESS,electronics
1624768708,DAVID WILSON,DEBIT,150000,SUCCESS,restaurant
1624769964,ELECTRONICS STORE X,DEBIT,100000,SUCCESS,food
1624774097,MARIA GARCIA,DEBIT,250000,FAILED,food
1624783389,LINDA MARTINEZ,DEBIT,300000,SUCCESS,transfer
1624811743,SUPERMARKET X,DEBIT,200000,SUCCESS,food
1624818542,COMPANY A,CREDIT,8000000,SUCCESS,salary
1624826217,PHARMACY X,DEBIT,150000,SUCCESS,food
1624876076,BOOKSTORE Y,DEBIT,75000,SUCCESS,fuel
1624920431,ONLINE STORE X,DEBIT,500000,SUCCESS,groceries
1624943303,ONLINE STORE X,DEBIT,100000,SUCCESS,books
1624946409,E-COMMERCE C,DEBIT,150000,SUCCESS,electronics
1624968787,PHARMACY B,DEBIT,150000,PENDING,fuel
1625031929,RESTAURANT C,DEBIT,200000,SUCCESS,fuel
1625041007,COMPANY C,CREDIT,15000000,SUCCESS,salary
1625065561,MARIA GARCIA,DEBIT,150000,SUCCESS,restaurant
1625066316,ONLINE STORE X,DEBIT,100000,SUCCESS,electronics
1625066609,COMPANY A,CREDIT,15000000,SUCCESS,salary
1625067308,BOOKSTORE B,DEBIT,150000,SUCCESS,medicine
1625128458,GAS STATION A,DEBIT,150000,SUCCESS,fuel
1625154018,SUPERMARKET A,DEBIT,75000,PENDING,fuel
1625159854,E-COMMERCE B,DEBIT,500000,PENDING,books
1625164388,TECH CORP,CREDIT,10000000,SUCCESS,salary
1625173818,E-COMMERCE A,DEBIT,200000,FAILED,clothes
1625199480,PHARMACY X,DEBIT,50000,SUCCESS,groceries
1625247498,COMPANY C,CREDIT,12000000,SUCCESS,salary
1625251002,LINDA MARTINEZ,DEBIT,200000,SUCCESS,food
1625258238,COMPANY C,CREDIT,10000000,SUCCESS,salary
1625263932,ELECTRONICS STORE B,DEBIT,200000,SUCCESS,food
1625263988,COMPANY B,CREDIT,10000000,SUCCESS,salary
1625315417,TECH CORP,CREDIT,10000000,SUCCESS,salary
1625317745,SUPERMARKET X,DEBIT,200000,SUCCESS,fuel
1625348214,ELECTRONICS STORE A,DEBIT,100000,FAILED,groceries
1625358104,ELECTRONICS STORE A,DEBIT,50000,PENDING,food
